X,Y,Z,cube error,X cube error,Y cube error,Z cube error,,X estimated,Y estimated,Z estimated,,u,v,pixel error,u pixel error,v pixel error,,u estimated,v estimated
90.0,210.0,0.0,0.12511609314005084,0.09595466599159863,0.08029158634047917,0.0, ,90.0959546659916,210.08029158634048,0.0, ,1715.0,1747.0,0.6271719298256707,0.39207874403768983,0.48950882324538725, ,1715.3920787440377,1746.5104911767546
0.0,210.0,180.0,0.5906831205980795,0.0,0.1734285749571427,0.5646495181507021, ,0.0,209.82657142504286,179.4353504818493, ,2858.0,1715.0,2.0167300759446656,1.8328655029990841,0.8413110287733616, ,2859.832865502999,1715.8413110287734
150.0,180.0,0.0,1.1684388631274818,1.0409129891332896,0.5308008345135136,0.0, ,151.0409129891333,180.5308008345135,0.0, ,1493.0,1547.0,4.747556156960199,3.6238874713453697,3.067039135471987, ,1496.6238874713454,1543.932960864528
180.0,180.0,0.0,1.271289875744567,1.134692956556023,0.5732798989261596,0.0, ,181.13469295655602,180.57327989892616,0.0, ,1394.0,1544.0,4.8799400051668576,3.6867462521950074,3.1971419308429176, ,1397.686746252195,1540.802858069157
0.0,210.0,150.0,0.11864579431372119,0.0,0.09624235999987718,0.06938467157800687, ,0.0,210.09624235999988,149.930615328422, ,2760.0,1726.0,0.6479254632360582,0.22696407860030376,0.6068728968530195, ,2760.2269640786003,1725.393127103147
0.0,210.0,120.0,0.055111834098754066,0.0,0.05135223951401713,0.02000654279538594, ,0.0,210.05135223951402,120.02000654279539, ,2653.0,1736.0,0.32648098629245376,0.07982575433470629,0.3165717665165175, ,2652.9201742456653,1735.6834282334835
60.0,210.0,0.0,0.25796048333884575,0.1542829208106582,0.2067374937222155,0.0, ,60.15428292081066,210.20673749372222,0.0, ,1840.0,1760.0,1.5126387087952133,0.6852734892393073,1.3485088462043677, ,1840.6852734892393,1758.6514911537956
120.0,210.0,0.0,0.12557977180233987,0.06698816587908141,0.10622082996326299,0.0, ,119.93301183412092,210.10622082996326,0.0, ,1600.0,1736.0,0.7330711319735749,0.2362104495598487,0.6939725556906069, ,1599.7637895504402,1735.3060274443094
120.0,180.0,0.0,1.0342959681218276,0.8353769825573636,0.6098470682773041,0.0, ,120.83537698255736,180.6098470682773,0.0, ,1600.0,1551.0,4.85388349841216,3.1452230050870185,3.6969930030268188, ,1603.145223005087,1547.3030069969732
0.0,210.0,90.0,0.1827462160677334,0.0,0.18274612184632133,0.00018557263854290795, ,0.0,210.18274612184632,90.00018557263854, ,2537.0,1748.0,1.1988128386042245,0.016490457815507398,1.1986994147005134, ,2536.9835095421845,1746.8013005852995
180.0,150.0,0.0,2.541860636594502,2.5059206479422755,0.42593098277205854,0.0, ,182.50592064794228,150.42593098277206,0.0, ,1394.0,1371.0,8.414736950262299,7.974408445820927,2.686374486427667, ,1401.974408445821,1368.3136255135723
0.0,210.0,30.0,0.31947259975925657,0.0,0.16407166199218182,0.27412265818071546, ,0.0,210.16407166199218,30.274122658180715, ,2276.0,1773.0,1.6746760250720876,1.3078434627286697,1.0459853086679232, ,2274.6921565372713,1771.954014691332
0.0,210.0,60.0,0.42518325133254886,0.0,0.19140984712907994,0.3796617805833762, ,0.0,210.19140984712908,60.379661780583376, ,2413.0,1760.0,2.0253332152547747,1.6676994287072375,1.149240291803153, ,2411.3323005712928,1758.8507597081968
0.0,90.0,30.0,0.8959618868202889,0.0,0.23251788392599337,0.8652647781397036, ,0.0,89.767482116074,30.865264778139704, ,2275.0,938.0,4.099099148957011,3.992140466320052,0.9302840051027488, ,2271.00785953368,938.9302840051027
30.0,210.0,0.0,0.4051795987181068,0.402481026067278,0.04668544605331704,0.0, ,30.402481026067278,210.04668544605332,0.0, ,1975.0,1772.0,1.9137671919975636,1.9080025258272144,0.14842919727334447, ,1976.9080025258272,1771.8515708027267
0.0,120.0,30.0,0.7159007975586555,0.0,0.27212036977276455,0.6621664868443986, ,0.0,120.27212036977276,30.6621664868444, ,2275.0,1145.0,3.770072515881548,3.0902865878820194,2.1595313333596096, ,2271.909713412118,1142.8404686666404
150.0,150.0,0.0,2.231438421471775,2.1855211333598277,0.45034964689452295,0.0, ,152.18552113335983,150.45034964689452,0.0, ,1493.0,1368.0,8.021663277512648,7.47751595646173,2.904106895183986, ,1500.4775159564617,1365.095893104816
0.0,240.0,60.0,0.9222813385085005,0.0,0.9218400167525829,0.028528071694893242, ,0.0,239.07815998324742,59.97147192830511, ,2413.0,1959.0,6.370573389697428,0.1824820212677878,6.367959298349433, ,2413.182482021268,1965.3679592983494
0.0,240.0,120.0,1.1860178230015952,0.0,0.8581261551378248,0.8186927252307896, ,0.0,239.14187384486218,119.18130727476921, ,2653.0,1921.0,5.900011697404332,3.153208286888912,4.986723927490175, ,2656.153208286889,1925.9867239274902
150.0,210.0,0.0,0.08094323481227951,0.0806828925644254,0.006486764163526004,0.0, ,149.91931710743557,210.00648676416353,0.0, ,1493.0,1725.0,0.28419310103197765,0.27636567080298846,0.06623997792712544, ,1492.723634329197,1724.9337600220729
30.0,90.0,0.0,0.7742937068185369,0.7505186151458361,0.19040103134796027,0.0, ,30.750518615145836,89.80959896865204,0.0, ,1978.0,938.0,3.5298009382726967,3.4522764089613247,0.7357188729126847, ,1981.4522764089613,938.7357188729127
90.0,180.0,0.0,1.2159907969083,1.0293098431808971,0.647421705611265,0.0, ,91.0293098431809,180.64742170561126,0.0, ,1714.0,1555.0,5.809937611583282,4.15757890992154,4.0583140167150304, ,1718.1575789099215,1550.941685983285
0.0,180.0,180.0,1.0732822440590513,0.0,0.28825602683136253,1.0338487502569365, ,0.0,180.28825602683136,181.03384875025694, ,2859.0,1543.0,3.6797226216139123,3.331219359422903,1.563117446458591, ,2855.668780640577,1541.4368825535414
