0,0,-30,1757,129
0,0,-60,1549,207
0,0,-90,1372,281
0,0,-120,1218,346
0,0,-150,1080,405
0,0,-180,952,459
0,30,-30,1745,438
0,30,-60,1530,498
0,30,-90,1355,555
0,30,-120,1203,607
0,30,-150,1063,653
0,30,-180,933,693
0,60,-30,1734,757
0,60,-60,1515,798
0,60,-90,1340,837
0,60,-120,1190,873
0,60,-150,1046,904
0,60,-180,920,932
0,90,-30,1725,1088
0,90,-60,1505,1109
0,90,-90,1328,1129
0,90,-120,1179,1147
0,90,-150,1032,1162
0,90,-180,911,1176
0,120,-30,1713,1424
0,120,-60,1499,1424
0,120,-90,1321,1423
0,120,-120,1171,1423
0,120,-150,1023,1422
0,120,-180,906,1422
0,150,-30,1700,1761
0,150,-60,1498,1738
0,150,-90,1318,1718
0,150,-120,1165,1700
0,150,-150,1021,1684
0,150,-180,902,1669
0,181,-30,1691,2096
0,181,-60,1498,2050
0,181,-90,1317,2010
0,181,-120,1160,1975
0,181,-150,1022,1943
0,181,-180,900,1913
0,210,-30,1692,2420
0,210,-60,1497,2354
0,210,-90,1317,2296
0,210,-120,1162,2244
0,210,-150,1026,2196
0,210,-180,902,2154
0,241,-30,1695,2729
0,241,-60,1495,2647
0,241,-90,1319,2574
0,241,-120,1168,2506
0,241,-150,1031,2445
0,241,-180,907,2390
30,0,0,2222,139
60,0,0,2425,227
90,0,0,2599,305
120,0,0,2754,378
150,0,0,2891,443
180,0,0,3014,502
30,30,0,2221,446
60,30,0,2423,518
90,30,0,2602,580
120,30,0,2757,638
150,30,0,2897,690
180,30,0,3017,736
30,60,0,2223,766
60,60,0,2422,818
90,60,0,2605,864
120,60,0,2760,906
150,60,0,2901,942
180,60,0,3020,976
30,90,0,2221,1097
60,90,0,2419,1128
90,90,0,2604,1155
120,90,0,2760,1178
150,90,0,2901,1200
180,90,0,3020,1219
30,121,0,2214,1434
60,121,0,2413,1443
90,121,0,2597,1448
120,121,0,2759,1454
150,121,0,2895,1460
180,121,0,3017,1464
30,151,0,2206,1772
60,151,0,2405,1757
90,151,0,2588,1744
120,151,0,2754,1731
150,151,0,2889,1720
180,151,0,3012,1711
30,181,0,2194,2105
60,181,0,2397,2067
90,181,0,2578,2035
120,181,0,2746,2007
150,181,0,2878,1978
180,181,0,3005,1954
30,211,0,2183,2428
60,211,0,2389,2371
90,211,0,2566,2320
120,211,0,2730,2275
150,211,0,2866,2232
180,211,0,2994,2194
30,241,0,2172,2740
60,241,0,2378,2664
90,241,0,2555,2598
120,241,0,2716,2535
150,241,0,2853,2479
180,241,0,2979,2430
