0,30,-30,1745,438
30,30,0,2221,446
30,241,0,2172,2740
60,30,0,2423,518
90,0,0,2599,305
30,211,0,2183,2428
0,60,-30,1734,757
0,0,-120,1218,346
60,241,0,2378,2664
0,0,-150,1080,405
120,0,0,2754,378
0,90,-30,1725,1088
90,241,0,2555,2598
150,0,0,2891,443
0,0,-90,1372,281
0,241,-30,1695,2729
0,0,-60,1549,207
60,0,0,2425,227
0,241,-60,1495,2647
180,0,0,3014,502
90,30,0,2602,580
30,181,0,2194,2105
0,120,-30,1713,1424
30,60,0,2223,766
0,0,-180,952,459
60,60,0,2422,818
60,211,0,2389,2371
0,241,-90,1319,2574
0,241,-120,1168,2506
120,30,0,2757,638
60,181,0,2397,2067
60,151,0,2405,1757
150,241,0,2853,2479
0,0,-30,1757,129
30,151,0,2206,1772
0,30,-120,1203,607
90,211,0,2566,2320
60,90,0,2419,1128
120,241,0,2716,2535
30,0,0,2222,139
0,241,-150,1031,2445
60,121,0,2413,1443
30,90,0,2221,1097
0,30,-60,1530,498
30,121,0,2214,1434
0,210,-60,1497,2354
0,30,-90,1355,555
180,30,0,3017,736
0,181,-60,1498,2050
180,241,0,2979,2430
0,30,-150,1063,653
0,210,-30,1692,2420
150,30,0,2897,690
0,241,-180,907,2390
0,150,-30,1700,1761
90,181,0,2578,2035
90,60,0,2605,864
0,181,-30,1691,2096
150,211,0,2866,2232
