90,210,0,1715,1747
0,210,180,2858,1715
150,180,0,1493,1547
180,180,0,1394,1544
0,210,150,2760,1726
0,210,120,2653,1736
60,210,0,1840,1760
120,210,0,1600,1736
120,180,0,1600,1551
0,210,90,2537,1748
180,150,0,1394,1371
0,210,30,2276,1773
0,210,60,2413,1760
0,90,30,2275,938
30,210,0,1975,1772
0,120,30,2275,1145
150,150,0,1493,1368
0,240,60,2413,1959
0,240,120,2653,1921
150,210,0,1493,1725
30,90,0,1978,938
90,180,0,1714,1555
0,180,180,2859,1543
0,180,150,2759,1547
0,240,30,2276,1980
0,240,90,2536,1939
60,180,0,1840,1559
30,240,0,1975,1981
0,180,120,2652,1551
120,150,0,1600,1366
30,120,0,1977,1146
60,240,0,1840,1959
0,180,90,2537,1555
180,120,0,1395,1199
0,240,150,2759,1903
90,150,0,1715,1362
0,240,180,2859,1887
0,180,30,2276,1564
0,180,60,2413,1559
60,120,0,1841,1158
60,150,0,1840,1358
30,150,0,1976,1354
180,210,0,1394,1715
120,120,0,1601,1180
0,150,90,2536,1362
0,150,30,2276,1355
0,120,60,2412,1158
150,120,0,1494,1191
90,120,0,1716,1169
30,60,0,1979,733
0,90,60,2411,959
60,90,0,1842,959
30,180,0,1975,1564
90,240,0,1715,1939
0,60,30,2275,732
0,150,60,2412,1359
0,150,120,2652,1365
0,150,180,2858,1371
120,90,0,1603,996
0,120,90,2536,1170
180,90,0,1397,1028
60,60,0,1844,762
0,150,150,2759,1369
90,90,0,1717,978
150,90,0,1496,1012
0,90,90,2535,978
0,60,60,2410,762
120,240,0,1601,1921
0,120,120,2652,1180
0,120,150,2758,1190
120,60,0,1605,813
0,90,120,2650,996
90,60,0,1719,788
